Recipient.Organization,ngotype,year
United Nations Humanitarian Response Depot,,
United Nations Department of Safety and Security,,
French Red Cross,,
Cuba,,
Swedish Civil Contingencies Agency (MSB),,
Czech Red Cross,,
Oficina Panamericana de la Salud,,
UN Agencies | NGOs | Red Cross Organizations,,
Les Amis du Liban,,
Tajikistan,,
Algerian Red Crescent,,
Soul of Haiti,,
Plan Norge,,
Inter Press Service,,
International Institute of Humanitarian Law,,
International Press Institute,,
Norsk senter for menneskerettigheter,,
ARTICLE 19,,
International Federation of Human Rights,,
International Institute for Democracy and Electoral Assistance - International IDEA,,
International Criminal Court,,
International Federation of Journalists,,
Amnesty International Norway,,
Compact AS,,
Overseas Development Institute,,
Landsforeningen for lesbisk og homofil frigjøring,,
Merrill Lynch,,
Purpose Foundation,,
Euro-Mediterranean Foundation of Support to Human Rights Defenders,,
World Association of Newspapers and News Publishers,,
UPR Info,,
Quaker United Nations Office,,
Charities Aid Foundation,,
Research Council of Norway,,
World Meteorological Organization,,
UNDP Administered Trust Fund,,
Afghanistan Independent Human Rights Commission,,
Norwegian Afghanistan Committee,,
Kenyan Red Cross Society,,
Lebanon,,
Open Society Foundations,,
Libya Red Crescent,,
The Christian Council of Sweden,,
Papua New Guinea,,
Sustainable Heath Development Centre,,
Viet Nam,,
United Nations Joint Programme on HIV/AIDS,,
Progressio,,
CARITAS / Catholic Relief Services,,
Croix-Rouge du Tchad,,
People in Aid,,
Kuwait Red Crescent Society,,
Arab Network for Tolerance,,
Mozambique Red Cross Society,,
Sierra Leone,,
Vive Zene,,
Zukunft f. Kinder,,
Aviation Sans Frontieres Belgium,,
Development Workshop,,
Kinderberg International e.V.,,
Swedish Missionary Association,,
British Red Cross,,
SODI - Solidaritätsdienst-International,,
UNICEF National Committees,,
Kissito Healthcare International,,
Brotherhood Association humanity of Human Rights,,
Association for the Prevention of Torture,,
Office of the Humanitarian Coordinator,,
ACT Alliance / Interchurch Organisation for Development Co-operation,,
International Rehabilitation Council of Tortured Victims,,
Bolivia,,
PMU-Interlife,,
University of Oxford - Refugee Studies Centre,,
Admira,,
Organization of American States,,
UN GENERAL TRUST FUND,,
Sametinget,,
The Rafto Foundation,,
Canadian Red Cross Society,,
HOPE’87 – Hundreds of Original Projects for Employment,,
Universitetet i Oslo,,
TERREMOTO HAITI,,
Emergency Nutrition Network,,
Jordan National Red Crescent Society,,
Lebanese Red Cross,,
NGOs; Red Cross/Red Crescent (details not yet provided),,
Red Cross Society of Bosnia and Herzegovina,,
Belgian Red Cross,,
Friedensdorf International,,
UN Trust Fund,,
Katholische Männerbewegung,,
Sr. Hildegard Litzlhammer,,
Horizont 3000,,
ACT Alliance / Bread for the World,,
Japanese NGOs,,
Alpistan,,
Eine Welt-öö Landlerhilfe,,
Ft. Petrus Obermüller,,
Committee partnersh Linz- San Carlos,,
Waltraud Torossian-Brigasky,,
Rumänienhilfe Schärding,,
Rumänienhilfe Liebenau,,
Erika Weissenböck,,
Sr. Elfride Jagers-berger,,
Daniela Punz,,
Solidarität mit Lateinamerika,,
Afghanistan Demain,,
Afrique Verte Mali,,
Sindh Agriculture and Forestry Workers Cooperation Organization,,
Tameer-e-Khalaq Foundation,,
Association for Humanitarian Development,,
Citizen's Commission for Human Development,,
Baluchistan Boys Scouts Association,,
Health And Nutrition Development Society,,
Sangtani Women Rural Development Organization,,
Society for Human and Institutional Development,,
Azat Foundation,,
Integrated Health Services,,
Helping Hand for Relief and Development,,
AAGAHI,,
National Society for Rehabilitation,,
Department of Ecumenical Relations and Development,,
Rosalia Hoog,,
National Primary Health Care Development Agency,,
Haiti,,
Anna Lininger,,
Santé Diabète,,
Access to Quality Education Program,,
Upper Nile Initiative and Development Organization,,
Malaria Consortium,,
öö Volkshilfe,,
Ft. Hubert Leeb,,
Ft. Josef Schröger,,
Ft. Jakob Krinzinger,,
Hilfswerk Austria International,,
Croix Rouge Katanga,,
Menschen für,,
Fiji Red Cross Society,,
Fiji Institution of Engineers,,
Finnish Red Cross,,
Diocese of Ambikapur,,
österreichisches Nord-Süd-Institut,,
"Eine Welt Kreis, Zell an der Pram",,
Initiative Dritte Welt Braunau,,
Fishermen of Christ Incorporated Philippines,,
Ft. Karl Kuppelwieser,,
Ft. Bernard Kurera,,
AMURT International,,
Tawsol Al Amal Charity Organization,,
Tufts University,,
Sudanese Red Crescent,,
Sudanese Women's General Union,,
Sudan Open Learning Organisation,,
Business and Professional Women Organization,,
ZAWD - Organization for Humanitarian and Development,,
Local Action Organization,,
Great Family Organization,,
Daaralsalam Development Association,,
Alshroog Organization for Social and Culture Development,,
RDN,,
United Nations Economic and Social Commission for Asia and the Pacific,,
Mali,,
Humanitarian Aid and Development Organization,,
DIAKONISCHES WERK DER EKD,,
Desert Locust Control Organization for Eastern Africa,,
Centre for the Coordination of Natural Disaster Prevention in Central America,,
Global Earthquake Model Foundation,,
Global Public Policy Institute,,
American Red Cross,,
Caritas Denmark,,
Santé Mali Rhône Alpes,,
Tanzania,,
Algeria,,
China Foundation for Poverty Alleviation,,
Red Cross Society of China,,
Toyota Gilbratar,,
Rotary Fiji,,
UN Peacebuilding Fund,,
Austrian Red Cross,,
Aide à l''Enfance de l''Inde,,
Neighbors Initiative Alliance,,
Fondation Raoul Follereau,,
Badil Resource Center for Palestinian Residency and Refugee Rights,,
Palestinian Center of Organic Agriculture,,
Palestinian Association for Development and Reconstruction,,
Coopération Humanitaire Luxembourg,,
ACT Alliance / Hungarian Interchurch Aid,,
Institut Menzingen,,
Verein f. hum. Hilfe Vaduz,,
Association d'aide à la femme et de la communication,,
ROFI Industrier AS,,
Franziskaner,,
Conflict Dynamics International,,
Swisscontact,,
Secours Catholique – Caritas France,,
Red Cross Organizations | UN Agencies | NGOs,,
Community and Family Services International,,
Non Violent Peace Force,,
Associazione Amici dell’Oasis Togo,,
Association Idée-elles,,
Ethiopia,,
UN Agencies | NGOs,,
Kenya,,
Bel Avenir,,
Kuehne & Nagel,,
Peace Corps,,
Christian Peacemaker Teams,,
Zimbabwe,,
Intercare,,
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,,
Afghan Women Association for Rehabilitation & Development,,
Social and Humanitarian Assistance Organization,,
Afghan Social and Agricultural Affairs Rehabilitation Organization,,
Afghan NGO Security Office,,
Mine Action Group,,
Swedish Cooperative Centre,,
Papua New Guinea Red Cross Society,,
Bangladesh,,
Samoa Red Cross Society,,
Solomon Islands Red Cross,,
Chapman Freeborn Airchartering,,
Dominica,,
TASSAGHT,,
Groupement des Artisans ruraux d’INTADENE-GARI,,
"Congo, Democratic Republic of",,
Carl Duisberg Gesellschaft,,
Bashaer,,
Somali Humanitarian Aid and Development Organization,,
Community Aid for Development,,
Kolnische Franziskanerprovinz Bosnienhilfe,,
RHA,,
CRRDC-TD,,
Commission diocésaine justice et paix (CDJP),,
Comité d’Appui à l’Auto Promotion,,
Alpha Ujuvi,,
CARITAS KINDU,,
APEC (Association pour la protection de l'enfance  au Congo),,
ASCHIANA,,
PIPA,,
NGOs | UN Agencies,,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),,
HCC-Humanitäre Nothilfeprogramme weltweit,,
Humanitarian Aid Commission,,
Social Impact,,
Organisation for Mine Awareness and Reconstruction,,
Demining Agency for Afghanistan,,
Afghan Technical Consultants,,
Clear Path International,,
"Macedonia, Former Yugoslav Republic of",,
Near East Foundation,,
Mauritania,,
Azerbaijan,,
Syrian Arab Republic,,
Yemen,,
Chad,,
Midwest Canvas Corporation,,
Djibouti,,
Egypt,,
Ghana,,
Article 36,,
Institutt for Journalistikk,,
The Living History Forum,,
United Nations,,
Humanitarian Accountability Partnership International,,
Indonesia,,
Fonds d’Intervention pour le Développement,,
South Africa,,
Sudan,,
Venezuela,,
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",,
Zambia,,
Eritrea,,
Innovasjon Norge,,
Samerådet,,
Oxford Research Group,,
Kompetansesenteret for urfolksrettigheter,,
International Coalition to Ban Uranium Weapons,,
Control Arms,,
International Work Group for Indigenous Affairs,,
Media Frontiers,,
International Humanitarian Fact-Finding Commission,,
Rehabilitation International,,
Gyro AS,,
United Nations Institute for Training and Research,,
Huairou Commission,,
ETANA Press,,
United Nations Operation Programme Support,,
"Center for Emergency Aid and Rehabilitation, Inc.",,
Centre d'Enseignement et de Recherche en Action Humanitaire,,
Hellef fir Rosario,,
Somalia Relive Centre,,
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,,
United Nations Environment Programme,,
Qatar Red Crescent Society,,
Joint Standards Initiative,,
PROMAN,,
Access Relief and Development,,
Private Agencies Collaborating Together,,
Watan’s Social Technical Services Association,,
Nawayee Rehabilitation and Development Organization for Afghan Women,,
Afghanistan Development & Educational Organization,,
Solidarity Organization for Rehabilitation of Afghanistan,,
Shahrukhi Rehabilitation Project,,
Humanitarian Forum Indonesia,,
ACT Alliance / Church World Service - Indonesia,,
Malawi,,
Swedish Christian Council,,
IIDA Women's Development Organization,,
Serve Pastoralist International,,
Somali Relief and Development Society,,
Sage Organisation,,
Horsed Relief and Development Organization,,
Family Empowerment and Relief Organisation,,
El Barde Primary Helath Care Organization,,
Juba Shine,,
Assessment Capacities Project,,
Pour une Syrie libre,,
Gynécologie sans frontières,,
We Effect,,
Human Rights House Foundation,,
Syrian Arab Red Crescent,,
Open Society Institute Assistance Foundation,,
Global Compact,,
Global Reporting Initiative,,
CRC - NGO Group for the Convention on the Rights of the Child,,
Organisation for Economic Co-operation and Development,,
Wilton Park,,
Action on Armed Violence,,
Norsk Ressursbank for demokrati og menneskerettigheter,,
Stiftung Deutsche Welthungerhilfe,,
Plan Indonesia,,
ACT Alliance / YAKKUM Emergency Unit,,
MIR - MUXO Impact Relief,,
Bjerknes Centre for Climate Research,,
Sibro Organization for Development,,
Centro Integral de Rehabilitación de Colombia,,
Cooperative Housing Foundation International,,
Health Limited,,
MISOLA,,
Burkina Faso,,
Federación Internacional Fe y Alegría,,
ACF - UK,,
Association for the Advancement of Democratic Rights-Legal Aid,,
United Nations Office on Drugs and Crime,,
Family Planning Organization of the Philippines,,
Société Kolping,,
Japan Association for Refugees,,
Honduran Red Cross,,
VOICE ASBL,,
Meteorologisk Institutt,,
"Stiftelsen barn og krig, Children and War",,
Stiftelsen for en kritisk og uavhengig presse,,
International Commission against the Death Penalty - ICDP,,
Norges Geotekniske Institutt,,
DKKV - German Committee for Disaster Reduction,,
Slovakia,,
Den norske Helsingforskomite,,
Internationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln,,
Provea - Venezolano de Educación-Acción en Derechos Humanos,,
IPYS - Instituto Prensa y Sociedad,,
China,,
India,,
World Vision Kenya,,
Woman Kind Kenya,,
Trans-Nzoia Socio-Economic Network,,
PIDAD,,
ACT Alliance / National Council of Churches of Kenya,,
Merti Integrated Development Programme,,
Horn-Aid Kenya,,
CARE Kenya,,
Lesotho,,
Niger,,
Centre for International Studies and Cooperation,,
Aadamiga USA,,
Raqeep Organization for Human Rights,,
Cooperative League of the USA,,
Relief and Recovery Unit - Zimbabwe,,
Charity Palestinian NGO,,
Shelter for Life,,
Rural Capacities Development Committee,,
Kanz Humanitarian organization,,
Al-Ofiq Organization for Development and Emergency,,
Darya Organization for Developing Woman and Community,,
Al-Afeea Fund,,
Alternative,,
Alaska Sudan Medical Project,,
Rural Water and Sanitation Support Agency,,
Nuer Peace Council,,
Mulrany International,,
Mother and Children Development Aid,,
Catholic Diocese of Torit,,
AMURT (Ananda Marga Universal Relief Team) (USA),,
American Lebanese Language Center,,
ORA e. V. Deutsher Hilfsfonds,,
Center for Defending Freedom of Journalists,,
Coalition to Stop Use of Child Soldiers,,
Centre for Civil and Political Rights,,
PEN International,,
International Commission of Jurists,,
"PRIO - International Peace Research Institute, Oslo",,
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,,
Studentenes og Akademikernes Internasjonale Hjelpefond,,
Armenian Red Cross Society,,
Action de Dévelopement Durable en Afrique,,
Mennonite Central Committee,,
Humedia International,,
Red Cross Organizations | UN Agencies,,
Den norske lægeforening - UD-tilskudd,,
Instituto Sou da Paz,,
Progressive Interventions,,
Coalition for the International Criminal Court,,
Brookings Institute,,
The Association for Women's Rights in Development,,
Ensemble Contre la Peine de Mort,,
Thomson Foundation,,
Canadian Journalists Free Expression,,
Transparency International,,
Global Centre for the Responsibility to Protect,,
Initiativ for Etisk Handel,,
Minority Rights Group International,,
Det Norske Menneskerettighetsfond,,
International Service for Human Rights,,
Freundschaftsbrucke Deutschland e.V.,,
Partnership Center for Development and Democracy,,
Samir Kassir Foundation,,
Heinrich Böll Foundation,,
Lebanon Support,,
Médecins sans Frontières - Norway,,
Hands Off Cain,,
Council of Europe Development Bank,,
Cambodia,,
United Nations Disaster Assessment and Coordination,,
International Resources Group,,
Missionsärztliches Institut Würzburg,,
Swiss Red Cross,,
DHL International,,
Center for International Studies and Cooperation,,
Telecom for Basic Human Needs,,
National Society for Earthquake Technology,,
Arab Women Association,,
Suvannimit Foundation,,
Red Cross of Viet Nam,,
FAIRMED Foundation,,
Ruedi Leuppi Stiftung Elfenbeinküste,,
Terre des Hommes - Germany,,
Iqra Cultural Center,,
Marshall Legacy Institute,,
Delvon Assistance for Social Harmony (DASH),,
Canadian Physicians for Aid and Relief,,
Albania,,
Foley Hoag LLP,,
Afghanistankomiteen i Norge,,
Nicaraguan Red Cross,,
Peru,,
Japan Asian Association and Asian Friendship Society,,
Cameroon,,
Action Solidarité Tiers Monde,,
NGOs | Red Cross Organizations | UN Agencies,,
World Vision Philippines,,
Singapore Red Cross Society,,
Bulgarian Red Cross,,
Terra Tech,,
UN Agencies | Red Cross Organizations | NGOs,,
Afghan Research and Evaluation Unit,,
Telecom Sans Frontieres,,
Asian Development Bank,,
ACT Alliance,,
Albanian Red Cross,,
Institute of Cultural Affairs Japan,,
Médecins sans Frontières - Luxembourg,,
Disasters Emergency Committee (UK),,
Croatian Red Cross,,
HIAS RefugeeTrust,,
Pastoralist Development Organization,,
Danish People's Aid,,
Bulgaria,,
World Association of Children's Friends,,
Humanitarian Cargo Carriers,,
The Norwegian Helsinki Committee,,
Cooperative for Assistance and Relief Everywhere,,
SAH - Schweizerisches Arbeiterhilfswerk,,
Salvadorean Red Cross Society,,
Russian Red Cross Society,,
DCP-TV,,
Basic Education and Employable Skill Training,,
Rwanda,,
Thailand Burma Border Consortium,,
MediCuba-Suisse,,
Centre for Peacekeeping and Community Development,,
Agency for Rehabilitation and Development,,
IHI - International Humanitarian Initiative,,
Life for Syria,,
Office for Drug Control and Crime Prevention,,
NGO Safety Program,,
Republic of South Sudan,,
Thailand,,
Fondation Luxembourgeoise Raoul Follereau,,
SAM - Schweizer Allianz Mission,,
Iraq,,
Japan Actions for Relief Center,,
"Korea, Republic of",,
Health and Environment Development Society,,
Association for Gender Awareness and Human Empowerment,,
Friends Foundation,,
Help In Need,,
Badin Development Organization,,
Lead Against Marginality and Poverty,,
MOJAZ Foundation,,
"Pakistan Rural Initiative for Emergency Preparedness, Response and Development",,
Rural Empowerment and Institutional Development,,
Thai Red Cross Society,,
Humanitarian Policy Group,,
Community Research and Development Organization,,
Senegal,,
Rebatisseurs de la muraille des oeuvres de Dieu,,
UNDP for UNDSS,,
Òganizasyon Fanm tou Nèf Balan,,
Caritas Haiti,,
Nærings- og Handelsdepartementet,,
Harvard University,,
North Atlantic Treaty Organization,,
The Kvinna till Kvinna Foundation,,
Benposta Nación de Muchachos,,
Iraq Humanitarian Fund,,
Action by Churches Together (ACT),,
Uganda ERF (until 2010),,
Danmission,,
Hungarian Malteser Charity Service,,
Collectif du developpement et du secours syrien,,
Enfants Refugies du Monde,,
Operation Save Innocent Lives - Partners in Relief and Development,,
Al-Amal Community for Social Welfare,,
Feinstein Center,,
Islamic Commission of Care,,
GROUPE URD,,
Joint IDP Profiling Service,,
Humanitarian Action for the People Afghanistan,,
Wahdat Rehabilitation and Development Organization for Afghan Women,,
Estonia Red Cross,,
DAC Aviation International,,
Japan International Cooperation Agency,,
FMYY,,
Civi Development Organization,,
Youth Activity Organization,,
Kurdistan Reconstruction and Development Society,,
Care Czech Republic,,
"The Institute of Cultural Affairs, Japan",,
JAFS,,
Results Japan,,
Aweil Relief Agency for Reintegration and Development,,
Damascus People Participation,,
Soryiat,,
International Islamic Charitable Organization,,
Jmaaiat Al ayadi Albaidaa - Lebanon,,
Christian Children's Fund,,
Global Medic,,
Humanity First,,
Land Research Center,,
Applied Research Institute Jerusalem,,
Al-Ahleya Association for the development of palm and dates,,
Rural Centre for Sustainable Development,,
Tomooh Association for Skills Development,,
Palestinian Environmental Friends,,
Alfajr Palestinian Youth Association,,
HRG Hogg Robinson Nordic AS,,
Interaction in Development Foundation,,
International Law and Policy Institute,,
AGHSAN,,
International Talk Network Ltd,,
Ad Council,,
International Initiative for Impact Evaluation (3ie),,
Global Human Rights Defence,,
Slovenian Red Cross,,
Fleet Forum,,
UN Resident Coordinator's Office,,
Central African Republic,,
Philippine Jesuit Foundation,,
Lead Development Agency,,
Mexican Red Cross,,
Development and Regeneration Association,,
Ernesto Sabato Foundation,,
Crown Agents,,
Spanish Religious Organizations,,
European Commission,,
Ecuador,,
CAUSE Canada,,
NGO FORUM,,
Solo Enviro Beautification,,
Noon Charity Organization,,
Independent Commission for Human Rights,,
Serbia,,
Programa de Reducción del Riesgo de Desastres,,
Bosnia & Herzegovina,,
Community Appraisal & Motivation Program,,
Frontier Primary Health Care,,
Participatory Educational Awareness and Community Empowerment,,
Society for Human Emancipation and Development,,
Saint Vincent and the Grenadines,,
Burundi Red Cross,,
Cameroon Red Cross Society,,
United Nations Mission in Ethiopia and Eritrea,,
UN Action Against Sexual Violence in Conflict,,
Uganda,,
Reach Alternatives (formerly Japan Center for Conflict Prevention),,
Morocco,,
Moroccan Red Crescent,,
Universal Rights Group,,
International Bank for Reconstruction & Development (World Bank),,
Stiftelsen Litteraturhuset,,
FAFO,,
Afghanistan Humanitarian Fund,,
OXFAM/Community Aid Abroad (OXFAM-Australia),,
Sagric Intenational Pty Ltd,,
APHEDA,,
AUSTCARE - Australian Care for Refugees,,
Australian Community Assistance Scheme,,
Australia,,
Australians Care for Refugees,,
Tonga,,
Tonga Red Cross Society,,
Vanuatu,,
Colombian Red Cross Society,,
Atlas Alliance,,
SHIFT,,
Institute for Human Rights and Business,,
Human Rights Foundation,,
WEF - World Editors Forum,,
Demos Institute,,
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,,
VNG International,,
Just Peace Initiatives,,
Youth Resource Centre,,
National Council of Churches in Australia,,
Almassar Charity organization for Nomad’s Development and Environmental Conservation,,
Olympic Aid,,
Misericordia International Center Day Care,,
Bienvenu Refugee Shelter,,
Center for Applied Linguistics,,
SWEFOR - Swedish Fellowship of Reconciliation,,
SEEMA Center for Training and Protection of Women and Child's Rights,,
CIVIC (Valid until August 2012),,
Indonesian Red Crescent Society,,
Syria Sanad,,
Mouvement non violent syrien,,
Costa Rica,,
Buddhistforbundet,,
Cairo Institute for Human Rights Studies,,
Forced Migration Review,,
Child Rights Information Network,,
World Council of Churches,,
Framtiden i våre hender,,
Noor Al Hussein Foundation,,
Community Media Network,,
Masar,,
Lebanese Institute for Democracy and Human Rights,,
United Nations Development Fund for Women,,
Humanitarian Africa Relief Development Organization,,
Hidig Relief And Development Organization,,
Pharmaciens sans Frontières (France),,
Freedom of Expression and of Association,,
La Asociación Minga,,
SPHERE,,
"Association for Forests, Development and Conservation",,
Emmanuel International,,
Palestine Red Crescent Society,,
Southern African Development Community,,
SHARE,,
Center for Research on the Epidemiology of Disasters,,
"Information Technology Outreach Services, U of Georgia",,
Tides Center,,
Lesotho Ministry of Agriculture and CARE Lesotho,,
Farm Community Trust of Zimbabwe,,
Médicos del Mundo Argentina,,
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,,
Perspectives pour la Santé et le Développement,,
Hopital Albert Schweitzer,,
GHESKIO Centers,,
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,,
SHASSMEPPE,,
St. Boniface Haiti Foundation,,
Centers for Disease Control and Prevention,,
Lebanese Association for Development Al Majmoua,,
Center for Women’s Legal Research and Consulting,,
VsF (CH) / PACE,,
World Relief Corporation,,
Mekong River Commission,,
Programme de Promotion de Soins de Santé Primaires (PPSSP),,
International Civil Defense Organisation,,
Taghyeer,,
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",,
Association de Lutte Contre le Sida,,
France Terre d’Asile,,
ELIMU,,
United Israel Appeal,,
Liberia,,
Wakachiai Project,,
Civic Coalition for Palestinian Rights in Jerusalem,,
Relationships Foundation International,,
"Karolinska Institutet, Department of Public Health Sciences",,
Syria Cross-border Humanitarian Fund,,
Food Security Network,,
Centers for Disease Control Foundation,,
Airlink,,
Shafaq Rehabilitation Organization (SHA),,
Liberian Red Cross Society,,
Plan Liberia,,
Ukraine,,
Asociación Salvadoreña de Ayuda Humanitaria,,
Medshare,,
Ebola Response Multi-Partner Trust Fund,,
Italian Red Cross,,
NetHope,,
African Union,,
DSI - Danish Council of Organizations of Disabled People,,
Danish Powerlines,,
International Humanitarian Partnership,,
Basic Awareness Rehabilitation & Networking,,
Hayat Foundation,,
Initiative for Development and Empowerment Axis,,
Norwegian Medical Association,,
The Danish-Ethiopian Joint Initiative,,
Partners in Health,,
GlobalGiving,,
Nigeria,,
Poverty Eradication Initiative,,
Ukrainian Red Cross Society,,
Latvian Red Cross,,
International Renaissance Foundation,,
ACT Alliance / Solidarité Protestante,,
Direct Relief,,
Sawa Organization,,
Resident Coordinators Support Office,,
Action Chretienne pour combattre la pauvretre et l'analphabetisme,,
Clinton Health Access Initiative,,
John Hopkins Center for Communication Programs,,
Education Development Center,,
JHPIEGO,,
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,,
Innovative Humanitarian Solutions,,
Jordan Humanitarian Fund,,
Lebanon Humanitarian Fund,,
German Doctors e.V.,,
Jubbalandese Charity Centre,,
UN Foundation,,
The Competitiveness,,
Planete Urgence,,
YME Foundation,,
Handicap International USA,,
International Procurement Agency,,
The Cuny Center,,
John Snow International,,
Land O'Lakes,,
Nepal Red Cross Society,,
Women's Education Partnership,,
Red Cross of Serbia,,
Nile Hope Development Forum,,
Louvain-Developpement,,
Cambodian Red Cross,,
Georgia,,
Management Systems International,,
Islamic Center Society,,
irshad and islah society lebanon,,
Tompran Foundation,,
Hungarian Baptist  Aid Organisation,,
International Dispensary Association,,
Yemen Medical Charitable Society,,
dawa Islamic organization,,
Alber Charity Society,,
Africa Solidarity Trust Fund,,
Comité d'Aide Médicale,,
Cote d'Ivoire,,
Ockenden International,,
National Democratic Institute,,
Share Association of Guatemala,,
A.I.M.E! International e.V. (Deutschland),,
"GeoLogistics Services, Inc.",,
SAFDF,,
CARGOMA,,
Transfair/Trans Group Express,,
WTB International Development,,
Eagle Global Logistics,,
Nigerian Red Cross Society,,
SWIFT RONCO,,
Social Services Program,,
Community Development Organization,,
Bent-e-Hawa Peace and Development Organization,,
United States Agency for International Development,,
Panalpina Airfreight Incorporated,,
Logenix,,
Air Charter World,,
UN Mission for Ebola Emergency Response,,
Jamaica,,
Camp Dresser and McKee Incorporated,,
Airline Cargo Service,,
The Carter Centre,,
"Organization for Refuge, Asylum and Migration",,
The Equal Rights Trust,,
Jordan Engineering Association,,
Africa Development Corps,,
ONG Actions,,
Asylum Access,,
FICASE,,
The Tibet Fund,,
Salesian Missions,,
Inter Cooperation,,
Christian Outreach Relief and Development,,
Grupo Col. - Suisse,,
Humanitarian Policy and Conflict Research,,
Malaysia,,
New South Wales Relief Fund,,
CAIPA,,
Life for Relief and Development,,
National Federation of UNESCO Association in Japan,,
ACT Alliance / Lutheran World Federation Nepal,,
Relief Pakistan,,
Women Empowerment Organization - Iraq,,
"Association pour la Solidarité, le Développement et l'Intégration Sociale",,
Eid Charity,,
Saudi Arabian Red Crescent Society,,
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),,
Public Health Initiative Liberia,,
Pakistan Red Crescent Society,,
Operation Lifeline Sudan,,
"Swift Creative, Inc.",,
OAP,,
World Vision Relief and Development  Inc.,,
International Foundation for Election Systems,,
Association Centrafricaine pour le Développement Economique et Social,,
Association des Cadres Musulmans de Centrafrique,,
Hirondelle Radio Okapi,,
National Radio Appeal,,
Reach Vulnerable,,
Institute for War and Peace Reporting,,
Reach Out Initiative,,
Pakistan Humanitarian Forum (consortium),,
Germany,,
Cambodian Mine Action Centre,,
Croatia,,
Mexico,,
Paraguay,,
Suwannimit Foundation,,
Pacific Islands Forum,,
South Pacific Applied Geoscience Commission,,
Japan Platform,,
Stiftung St. Barbara,,
Madagascar,,
"International Nothilfe e.V., Coswig",,
Refugee Consortium of Kenya,,
Association pour le Progrès et la Défense des Droits des Femmes,,
Palestinian Farmers Association,,
Child Rights Connect,,
DAC - Danish Afghan Committee,,
NGO Security Programme,,
People Empowerment & Consulting Enterprise,,
Nova - Centre per la Innovació Social / NOVACT,,
Peace Brigades International,,
World Vision Vanuatu,,
Assistência Médica Internacional (AMI),,
SADEL,,
Business & Human Rights Resource Centre,,
Japan International Volunteer Center,,
New Zealand Red Cross,,
OXFAM Australia,,
Tamer Institute for Community Education,,
Tuvalu,,
International Civil Aviation Organisation,,
National Oceanic and Atmospheric Administration,,
International Rice Research Institute,,
Polish Humanitarian Organisation,,
Health Communication Capacity Collaborative,,
Foyer des Jeunes de Morne l'Hopital,,
"Micronesia,  Federated States of",,
CARE Nepal,,
Nepal,,
Chile,,
Myanmar Health Assistant Association,,
Himalayan Trust Nepal,,
Opportunities Industrialisation Centres International,,
Network on Humanitarian Assistance,,
Global Network of Civil Society Orgs,,
ActionAid International Nepal,,
World Vision Pakistan,,
PACTEC,,
FORUT,,
DIGNI,,
Atlasalliansen,,
Development Fund,,
Sign of Hope,,
Fangak Community Development Initiative,,
Foundation for the Refugee Trust,,
Shelter Now International,,
Triyog Trust NZ,,
Partner Aid International e.V.,,
SWIFT - Society for Worldwide Interbank Financial Telecommunication,,
Famine Early Warning Sytem,,
El Salvador,,
Air Serv International,,
Swiss Disaster Relief Unit,,
United Nations Assistance Mission for Afghanistan,,
Africa Centre for Holistic Management,,
War Torn Societies,,
Near East Council of Churches in Gaza,,
Chemonics International Inc.,,
International Network for Environmental Management,,
GeoForschungsZentrum Potsdam,,
Bundesanstalt Technisches Hilfswerk,,
Rural Focus,,
Turath Organization for Human Development,,
National Democratic Institute for International Affairs/International Republican Institute,,
Seeds of Peace,,
Academy for Educational Development,,
"Christian Children's Fund, USA",,
International Eurasia Press Fund,,
Creative Association Inc.,,
Parlement des Jeunes Rwandais,,
World University Service,,
ACT Alliance / Finnchurchaid/ Mines Advisory Group,,
American Friends Service Committee,,
NOVIB,,
Libya,,
"Comoros Red Crescent, The",,
Heifer International,,
Christian Children's Fund of Canada,,
Pearl of Africa Environment,,
Fondation Hirondelle,,
Div. Assoc.,,
Rescue South Africa,,
Hungary,,
Khartoum Teaching Hospital,,
Human Moral Care,,
Academy Charity Teaching Hospital,,
Global 2000 of the Carter Centre,,
Myanmar Red Cross Society,,
NGOs | UN Agencies | Red Cross Organizations,,
GKST - Presbyterian Christian Church of Central Sulawesi,,
One Step Further,,
GFZ German Research Centre,,
Egyptian Red Crescent Society,,
Caribbean Disaster Emergency Management Agency,,
Dominica Red Cross Society,,
Rockefeller Foundation,,
Norsk Journalistlag,,
UN Women's Guild,,
Support Agency for Rural and Human Association’s Development,,
Remedial English and Science Course Centre,,
TERMA FOUNDATION,,
Union of Sudan African Parties,,
United Nations Global Pulse,,
Intergov Authority on Development,,
Swedish Free Mission,,
Reform Society,,
World Assembly of Muslim Youth,,
Yemen Red Crescent Society,,
Rotary Club of Shanghai,,
