Recipient.Organization,recipientcodename,year
Pentecostal Foreign Mission,NGOs,
Ligue de la Zone Afrique pour la Défense des Droits des Enfants et Elèves,NGOs,
Association for Environment Management and Development,NGOs,
Solidarmed,NGOs,
Maison Shalom Ruyigi,NGOs,
Hogar de Cristo Santiago,NGOs,
Leprosy Aid Switzerland,NGOs,
Culture and Free Thought Association,NGOs,
TAJDID IraqÂ Foundation for Economic Development,NGOs,
The United Iraqi Medical Society for Relief and Development,NGOs,
Al-Khanjar Foundation,NGOs,
Aman Jordanian Association,NGOs,
Jordan paramedic society,NGOs,
Syrian American Medical Society Foundation,NGOs,
International Commission for Human Development,NGOs,
Waqf Alrahma Alkhairi,NGOs,
Syrian Society for Social Development,NGOs,
Attaa Relief and Development,NGOs,
Union Relief Societies,NGOs,
Charity Abrar Society,NGOs,
Youth Society,NGOs,
Chrétiens pour le Sahel,NGOs,
International Campaign to Abolish Nuclear Weapons (ICAN),NGOs,
Japanese Organization for International Cooperation in Family Planning (JOICFP),NGOs,
Society for Social & Technological Support,NGOs,
Islah Foundation For Society Development,NGOs,
Human Foundation for Social and Educational Development Inc.,NGOs,
Care and Social Development Organization,NGOs,
Svenska Missionsradet,NGOs,
Ramakrishna Mission,NGOs,
Enfants du Monde - Droits de l'Homme,NGOs,
REST - Relief Society of Tigray,NGOs,
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs,
Artemisszió Foundation,NGOs,
Hungarian Charity Organization of the Order of Malta,NGOs,
Hungarian Hydrology Association,NGOs,
Support Agency for Rural & Human Association's Development,NGOs,
Alinshat Area  Association (Inshaat),NGOs,
Circassian Charity Association,NGOs,
Syria Trust for Development,NGOs,
Middle East Childrens Institute,NGOs,
Solidar Suisse,NGOs,
CARE Ecuador,NGOs,
La Strada International / Open Gate,NGOs,
Macedonian Young Lawyers Association (MYLA),NGOs,
NOSTOS - Organisation for Social Integration,NGOs,
Solidarity Now,NGOs,
Caritas Hellas - Caritas Greece,NGOs,
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs,
Nun Kultura,NGOs,
Macedonia Centre for International Cooperation,NGOs,
LEGIS,NGOs,
ARSIS Association for the Social Support of Youth,NGOs,
Caritas Athens,NGOs,
Norwegian Society for Sea Rescue,NGOs,
HumaniTerra International,NGOs,
Heevie Kurdistan Development,NGOs,
United Foundation for Relief and Abiding Development,NGOs,
KAALO Relief and Development Organisation,NGOs,
GRET,NGOs,
Al Afia Fund Charity,NGOs,
Al-Birr Association for Charity and Social Services,NGOs,
Business Incubation Association in Tripoli,NGOs,
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs,
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs,
Istituto Oikos onlus,NGOs,
Centro Sviluppo Terzo Mondo Onlus,NGOs,
Associazione Solidarietí  e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs,
International Humanitarian Relief,NGOs,
Centro Internazionale per l'Infanzia e la Famiglia,NGOs,
Ente Nazionale Giuseppini del Murialdo,NGOs,
Instituto per la Cooperazione Universitaria Onlus,NGOs,
Associazione Italiana per la Solidarietí  tra I Popoli,NGOs,
Media Action Intl.,NGOs,
Voluntary Organisations in Cooperation in Emergencies,NGOs,
Plan Niger,NGOs,
Tanganyika Christian Refugee Service,NGOs,
Water Missions International,NGOs,
Smile Again Africa Development Organization,NGOs,
Development and Inter-Church Aid Commission,NGOs,
Hilfswerk Liechtenstein,NGOs,
Kreuz des Südens,NGOs,
Lazarus-Hilfswerk e.V.,NGOs,
AiBi Associazione Amici dei Bambini,NGOs,
Caritas Centrafricaine,NGOs,
Main dans la Main pour l'Assistance Humanitaire et le Développement Durable,NGOs,
Habitat for Humanity Fiji,NGOs,
Syria Relief,NGOs,
Cultivating New Frontiers in Agriculture,NGOs,
Life Makers Meeting Place Organization,NGOs,
Al-Atta Institution for Social Development and Charity,NGOs,
Fonds dIntervention pour le Développement,NGOs,
Asia Humanitarian Organization,NGOs,
Comprehensive Health and Education Forum International,NGOs,
Foundation for Rural Development,NGOs,
Frontier Organization for Reforms and Transformation,NGOs,
Humanitarian Organization for Poverty Elimination,NGOs,
Kamore Development Welfare Organization,NGOs,
Pakhtunkhwa Rural Support Program,NGOs,
LASOONA - Society for Human and Natural Resource Development,NGOs,
Philanthrope,NGOs,
Poverty Alliance Welfare Trust,NGOs,
Sanjh Preet Organization,NGOs,
Society for Appraisal and Women Empowerment in Rural Areas,NGOs,
Women Concerns Organization,NGOs,
RABT Development Organization,NGOs,
Syria Relief and Development,NGOs,
Canadian Food Grains Bank,NGOs,
Groupe de Secours Catastrophes Francais,NGOs,
ACT Alliance / Icelandic Church Aid,NGOs,
Norwegian Refugee Council/CARDI,NGOs,
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,NGOs,
TEAR Fund New Zealand,NGOs,
ITF,NGOs,
Shelter Centre,NGOs,
Secours Populaire Francais,NGOs,
CARE Haiti,NGOs,
Action d'Urgence International,NGOs,
NGO Coordination Committee for Iraq,NGOs,
The Coalition Of Humanitarian Relief,NGOs,
Vivamos Mejor,NGOs,
NGO Ninez y Vida,NGOs,
Reseau National des droits humains,NGOs,
Terra Nuova,NGOs,
Green Cross,NGOs,
DIOTIMA Centre of research on Women's Issues,NGOs,
HSA Humanitarian Support Agency,NGOs,
J/P Haitian Relief Organization,NGOs,
Team Rubicon,NGOs,
Plan Zimbabwe,NGOs,
Libraries without Borders,NGOs,
Network for Children's Rights,NGOs,
Translators without Borders,NGOs,
The Engineering Association for Development and Environment,NGOs,
Afghan Health & Development Services,NGOs,
Coordination of Afghan Relief,NGOs,
Afghan Planning Agency,NGOs,
Youth Health & Development Organization,NGOs,
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs,
Engineers Without Borders,NGOs,
EliseCare,NGOs,
Stichting ZOA,NGOs,
Doctors Aid Medical Activities,NGOs,
Mercy Hands for Humanitarian Aid,NGOs,
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs,
Barzani Charity Foundation,NGOs,
Kuwaiti Yemeni Relief,NGOs,
The Haven Community Foundation,NGOs,
Dutch Relief Alliance,NGOs,
Medilor,NGOs,
URBAN REFUGEES,NGOs,
Voice of America,NGOs,
Development Associates Inc.,NGOS,
Assisting Marsh Arabs and Refugees,NGOs,
Lanka Jatika Sarvodaya Shramadana Sangamaya,NGOs,
Center for Education and Development,NGOs,
Nutrition Action Zimbabwe,NGOs,
Organisation of Rural Associations for Progress,NGOs,
Darfur Development and Reconstruction Agency (DDRA),NGOs,
Nada Elazhar for Disaster Prevention and Sustainable Development,NGOs,
Peoples' Organization for Development and Rehabilitation,NGOs,
Zulfa Development and Peace Organization,NGOs,
Cooperation for Development Organization,NGOs,
Fondation Humanitaire Internationale AICM Ukraine,NGOs,
Auranitis Life Line for development and training,NGOs,
Skills Active Forward,NGOs,
Ratana Metta Organization,NGOs,
Iraqi Al-Mortaqa Foundation for Human Development,NGOs,
World Vision Niger,NGOs,
Action Contre la Pauvreté (ACP),NGOs,
Sorouh for Sustainable Development Foundation,NGOs,
Iraq Health Access Organization,NGOs,
Première Urgence Internationale,NGOs,
BRASCRI,NGOs,
Development and Ability Organization,NGOs,
Safadi Foundation,NGOs,
UTOPIA Organization,NGOs,
Physicians Across Continents,NGOs,
World Vision Chad,NGOs,
World Vision Zimbabwe,NGOs,
Haitian Health Foundation,NGOs,
National Foundation for Development and Humanitarian Response,NGOs,
Yemeni Development Network for NGOs,NGOs,
Actions Concrète pour la Protection de l'Enfance,NGOs,
Association des jeunes pour le développement communautaire,NGOs,
Corporación Infancia y Desarrollo (CID),NGOs,
AVREO,NGOs,
Centre de Développement Intégral pour lEnfant Rural,NGOs,
Collectif Alpha Ujuvi (CAU),NGOs,
Federation Handicap International. Direction Aide Humanitaire,NGOs,
Groupe La Colombe,NGOs,
Rebuild Hope for Africa,NGOs,
Roles for Social Change Association,NGOs,
CTM,NGOs,
Community World Service Asia,NGOs,
Korean Sharing Movement,NGOs,
World Vision Korea,NGOs,
South-North Sharing Campaign for Peace and Reunification,NGOs,
United Iraqi Medical Society for Relief & Development,NGOs,
Enjaz foundation for development,NGOs,
Syria Civil Defence,NGOs,
Comite Catholique contre la faim,NGOs,
Order of Malta Lebanon,NGOs,
ONG Rescate International,NGOs,
ICDP - International Child Development Programme,NGOs,
PTM - Paz y Tercer Mundo,NGOs,
Christian Relief Network,NGOs,
Samenwerkende Hulporganisaties,NGOs,
African Revival Ministries,NGOs,
International Alert,NGOs,
"Ayuda, Intercambio y Desarrollo",NGOs,
International Youth Council - Yemen,NGOs,
World Vision New Zealand,NGOs,
Hellenic Rescue Team,NGOs,
Palestinian Human Rights Monitoring Group,NGOs,
Myittar Resource Foundation,NGOs,
Rotary International,NGOs,
Norsk Luthersk Misjonssamband,NGOs,
Direct Focus Community Aid,NGOs,
KAFA Enough Violence and Exploitation,NGOs,
Action for Relief and Development,NGOs,
SomaliAid,NGOs,
Somali Organic Agriculture Development Organization,NGOs,
Save Somali Women and Children,NGOs,
ArmandoAid,NGOs,
Emergency Response Centre International,NGOs,
Faros Organizaton,NGOs,
Filoxenia International,NGOs,
NGO Atina - Citizens Association for Combating Trafficking in Human Beings and all Forms of Gender-based Violence,NGOs,
Initiative for Development and Cooperation,NGOs,
LOVASOA,NGOs,
International Children's Action Network,NGOs,
African Disability Association,NGOs,
Agricultural Development Organisation,NGOs,
Golweyne Relief and Rehabilitation,NGOs,
Social Life and Agricultural Development Organisation,NGOs,
Somali Transformation Group,NGOs,
Salama Medical Agency,NGOs,
Aid Vision,NGOs,
Ihsan for Relief and Development,NGOs,
Alyateem Development Foundation,NGOs,
Al Khair Relief Development Foundation,NGOs,
International Aid Network,NGOs,
Nurture Project International,NGOs,
Rescue Team International,NGOs,
Schönstätter Marienschwestern,NGOs,
Ruedi Lüthy Foundation,NGOs,
Association du Centre de Santé de Musongati,NGOs,
Caritas Peru,NGOs,
Chavin Organization for the Care of Children,NGOs,
Action Africa Help International,NGOs,
Amica hilft in Bosnien e.V.,NGOs,
Samusocial International,NGOs,
Action Against Hunger,NGOs,
Okedongmu Children in Korea,NGOs,
Afro-Canadian Evangelical Mission,NGOs,
Tawa Organization for Civil Development,NGOs,
One Buddhism,NGOs,
One Korea Buddhist Movement,NGOs,
Korea Food for the Hungry International,NGOs,
Benevolence Coalition For Humanitarian Relief,NGOs,
Community Aid for Relief and Development,NGOs,
Al-Badyah Charitable Foundation,NGOs,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs,
Help Restore Youth South Sudan,NGOs,
Community Aid for Fisheries and Agriculture Development,NGOs,
Children Aid South Sudan,NGOs,
Africa Development Aid,NGOs,
Centre for Emergency and Development Support,NGOs,
Center for Diversity and National Harmony,NGOs,
Abo Mousa Alashary Social Charitable Association,NGOs,
National Agricultural Cooperative Federation,NGOs,
NGO Development Center,NGOs,
Palestinian Center for Human Rights,NGOs,
Swiss Rotary Club,NGOs,
SHAML - Palestinian Diaspora and Refugee Center,NGOs,
African Volunteers for Relief and Development,NGOs,
"Association des Volontaires pour la Recuperation des Enfants Orphelins,Abandonnés,Déplacés et Mal",NGOs,
Save Congo,NGOs,
Help The Needy,NGOs,
SOS Sahel Ethiopia,NGOs,
METAdrasi - Action for Migration and Development,NGOs,
Start Point,NGOs,
Shaqodoon Organization,NGOs,
Sarvodaya Shramadana Movement,NGOs,
Action Mopti,NGOs,
Initiative for Rural Empowerment,NGOs,
Habitat for Humanity Ethiopia,NGOs,
Catholic Caritas Foundation of Nigeria,NGOs,
Center for Disaster Preparedness,NGOs,
Action pour le Développement du Sahel,NGOs,
Syria Relief Network,NGOs,
World Relief Deutschland e.V.,NGOs,
Association pour la Coopération Technique et au Développement,NGOs,
Ana Aqra Association,NGOs,
Lebanese Society for Educational and Social Development,NGOs,
Catholic Peace Movement,NGOs,
CARE Germany-Luxembourg eV,NGOs,
All Girls Foundation for Development,NGOs,
Violet Organization,NGOs,
Yemen Women Union,NGOs,
Kabkabiya Women Charitable Society,NGOs,
Jabal Marra Charity Organization for Rural Development,NGOs,
Relief and Mediation Corps,NGOs,
"Emergency Relief, Rehabilitation and Development Agency",NGOs,
Saeker Charitable Society,NGOs,
National Humanitarian Aid Organization,NGOs,
National Initiative for Development Organization,NGOs,
Trust Rehabilitation and Development Organization,NGOs,
SOS Sahel Sudan,NGOs,
Caritas Austria | CARITAS,NGOs,
Almasheesh Organization for Development and Creative Art,NGOs,
FARM Africa,NGOs,
Health Work Committees,NGOs,
Psycho Social Counselling Center for Women,NGOs,
Treatment and Rehabilitation Center for Victims of Torture,NGOs,
Syaj Charity Organization,NGOs,
Sidra Organization for Development and Reconstruction,NGOs,
Padem,NGOs,
Solidarités International (SI),NGOs,
Action Health Incorporated,NGOs,
CBM International (formerly Christian Blind Mission),NGOs,
OXFAM | OXFAM GB,NGOs,
Peace Boat Disaster Relief Volunteer Center,NGOs,
Polish Humanitarian Team,NGOs,
Society for Human Rights and Prisoner's Aid,NGOs,
NGOs,NGOs,
Action Contre la Faim | ACF - France,NGOs,
Arakan Rohingya Union,NGOs,
ARCS ARCI Cultura e Sviluppo,NGOs,
Upper Nile Youth Mobilization for Peace and Development Agency,NGOs,
Al-Baida Coalition for Relief and Humanitarian Actions,NGOs,
Iraqi Handicapped Society,NGOs,
Sadad Humanitarian Organization,NGOs,
Plan Niger | Plan Ireland,NGOs,
Integrated Rural Development and Nature Conservation,NGOs,
Network Partnership for Development and Justice E. V,NGOs,
Salute e Sviluppo ONG,NGOs,
World Vision Ireland | World Vision International,NGOs,
Building foundation for Development,NGOs,
Al-Ameen for Humanitarian Support,NGOs,
"Hand in Hand Appeal, Syria",NGOs,
CHS Alliance,NGOs,
World Vision Central African Republic,NGOs,
Mobile Theatre Team,NGOs,
Grassroots Relief and Development Agency,NGOs,
Verein Hilfe fur Bangladesch,NGOs,
Healthlink South Sudan,NGOs,
Plan International | Plan Sweden,NGOs,
Rural Organization for Advocacy and Development International,NGOs,
AFAK Future for Capacity Building,NGOs,
JORDAN RIVER FOUNDATION,NGOs,
Jordan Women Union-Un Ponte Per,NGOs,
Union of Relief and Development Association,NGOs,
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs,
Association Nabad for Development,NGOs,
Action for Population and Sustainable Development,NGOs,
Caritas Bangladesh,NGOs,
Enfants sans Frontières,NGOs,
Community Action Organization,NGOs,
LiveWell South Sudan,NGOs,
Community Health and Development Organization,NGOs,
National Relief and Development Corps,NGOs,
Community Initiative for Development Organization,NGOs,
Humanitarian Aid for Change and Transformation,NGOs,
The Rescue Initiative South Sudan,NGOs,
American Rescue Committee,NGOs,
Bent Al-Rafedain Organization,NGOs,
Bothoor Alkhaer Human Organization,NGOs,
Emergency Medical Care for Affected People,NGOs,
Canadian Aid Organization for International Society Rehab,NGOs,
The Critical Needs Support Foundation,NGOs,
Dary Human Organization for Relief and Medical Care,NGOs,
World Concern,NGOs,
Health & Social Care Organization in Iraq,NGOs,
Human for Human Organization,NGOs,
Orchard Association for Children Protection and Education,NGOs,
Empowering Vulnerable Society Organization,NGOs,
Sahara Economic Development Organization,NGOs,
Stichting Cordaid,NGOs,
Sabe' Sanabal Organization for Relief and Development,NGOs,
General Service Agency,NGOs,
Women Pioneers for Peace and Life,NGOs,
WRO,NGOs,
Terre des Hommes - Italy | World Vision International,NGOs,
Taakulo Somaliland Community,NGOs,
Health Education Agro-pastoral Liaison,NGOs,
Bena Charity For Human Development,NGOs,
Al-Aman Organization for Blind Women Care,NGOs,
Field Medical Foundation,NGOs,
Youth Leadership Development Foundation,NGOs,
Rural Women's Development Society,NGOs,
Responsiveness for Relief and Development,NGOs,
Windle Trust International,NGOs,
Tamdeen Youth Foundation,NGOs,
Integrated Youth and Relief Development Association,NGOs,
Active Youth Agency,NGOs,
Pathfinder International,NGOs,
"Candlelight for Health, Education and Environment",NGOs,
Leb Relief,NGOs,
Livelihood Relief and Development Organization,NGOs,
Mothers and Children Multisectoral Development Organization (MCMDO),NGOs,
The Disabled and their Friends Charity Association (DTF),NGOs,
Communicating with Disaster Affected Communities,NGOs,
Centre for Community Health and Development International,NGOs,
Street Child Organization,NGOs,
Kanem Borno Human Development Association,NGOs,
Restoration of Hope Initiative,NGOs,
Women in the New Nigeria and Youth Empowerment Initiative,NGOs,
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs,
OXFAM GB | OXFAM,NGOs,
Alianza por la Solidaridad,NGOs,
Winrock International,NGOs,
Associazione di Cooperazione allo Sviluppo,NGOs,
Center for Civilians in Conflict,NGOs,
Alliance For Action Aid,NGOs,
Hope and Rural Aid Foundation,NGOs,
Ronahee Foundation,NGOs,
Shabelle Relief and Development Organization - SRDO,NGOs,
World Vision Uganda,NGOs,
Miak Wadang,NGOs,
ACT Alliance / Christian Care,NGOs,
Nurture Africa,NGOs,
Fondazione âOpera San Francesco Saverioâ CUAMM,NGOs,
AYUUB Organization,NGOs,
National Prisoner Foundation,NGOs,
For All Foundation,NGOs,
Medical Mercy Foundation,NGOs,
Association for Community Development,NGOs,
CARITAS BUKAVU,NGOs,
Caritas Développement DRC,NGOs,
Touch Africa Development Organization,NGOs,
Assistance Mission Africa,NGOs,
Himilo Organization for Development,NGOs,
Centre for Common Ground in Angola (CCG),NGOs,
StanisÅawa BieÅczak Child Support Foundation (Fundacja Pomocy Dzieciom im. StanisÅawy BieÅczak),NGOs,
AlBasar Foundation,NGOs,
FOSENET - NGO Food Security Network - Zimbabwe,NGOs,
Mvuramanzi Trust,NGOs,
Civil Society in Development,NGOs,
Médecins du Monde Suisse,NGOs,
Terre des Hommes International | Terre des Hommes - Italy,NGOs,
Solid House Foundation,NGOs,
Polish Medical Mission,NGOs,
Enfants de Cusco,NGOs,
Messagers de la Paix en Afrique,NGOs,
Solidarité Socialiste,NGOs,
Medicair - South Sudan,NGOs,
Association for Solidarity with Asylum Seekers and Migrants,NGOs,
ACT Alliance / Diakonie,NGOs,
Mercy Without Limits,NGOs,
Nile Sustainable Development Organization,NGOs,
Catholic Medical Missons Board,NGOs,
Andre Foods South Sudan,NGOs,
Organization for Peoples' Empowerment and Needs,NGOs,
Community Organization for Emergency and Rehabilitation,NGOs,
Titi Foundation,NGOs,
Takaful Alsham Charity Organization,NGOs,
MEMISA - Action médicale missionnaire,NGOs,
"Zaporizhzhia Region Charity Fund ""Child Smile""",NGOs,
BINAA Organization for Development,NGOs,
Humanitarian and Development Consortium,NGOs,
ROIA Information and Communication Technology,NGOs,
Johanniter International Assistance,NGOs,
Fonds voor OntwikkelingsSamenwerking,NGOs,
Amis des Personnes en Détresse,NGOs,
Entrepreneurs Organization for Relief and Development,NGOs,
Custodian of Two Holy Mosques Relief Campaign,NGOs,
Janat Al-Frdaws Foundation for Relief and Development,NGOs,
Humane Aid for Community Organization,NGOs,
ONG Espoir,NGOs,
Women of Africa,NGOs,
CARITAS BUTEMBO,NGOs,
CARITAS DEV GOMA,NGOs,
CARITAS UVIRA,NGOs,
Santé Rurale,NGOs,
Human Appeal UK,NGOs,
Public Aid Organization,NGOs,
INSAN Iraqi Society for Relief and Development,NGOs,
Pestalozzi Children's Foundation,NGOs,
EPER - Swiss Church Aid,NGOs,
Action Against Disasters Somalia,NGOs,
New Ways Organization,NGOs,
Uganda Women's Effort to Save Orphans,NGOs,
ACT Alliance / Christian World Service,NGOs,
Inter Aide,NGOs,
Mwelekeo Trust,NGOs,
Rural Education and Agriculture Development Organization,NGOs,
Somali Humanitarian and Development Action,NGOs,
Inter Religious Council,NGOs,
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs,
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGOs,
International Blue Crescent Relief and Development Foundation,NGOs,
Aide Médicale  Internationale (until 2010),NGOs,
CARE Ethiopia,NGOs,
Watan Khayr Charity Foundation,NGOs,
Grünhelme,NGOs,
Caritas Sweden,NGOs,
Bonyan (Bina Insan),NGOs,
FXB -  François-Xavier Bagnoud,NGOs,
International Assistance Mission,NGOs,
African Humanitarian Corps,NGOs,
Action Chrétienne Tous pour la Solidarité,NGOs,
Ata'a for Relief and Development,NGOs,
Pompiers sans frontières,NGOs,
Triangle,NGOs,
Atfaluna Society for Deaf Children,NGOs,
ACT Alliance / Kerk in Actie - Netherlands,NGOs,
Ghiras Alnahda Organization,NGOs,
ASIA Onlus,NGOs,
Mobile Humanitarian Agency,NGOs,
Maram Foundation for Relief and Development,NGOs,
Syrian Expatriates Medical Association,NGOs,
Reach Out,NGOs,
Hydraulique Sans Frontières,NGOs,
Agence de Développement Economique et Social,NGOs,
Action pour la Promotion du Bien Etre Social,NGOs,
Sonbola Group for Education and Development,NGOs,
Dhaka Ahsania Mission,NGOs,
Association Mamans Uzima Kalemie,NGOs,
Centre d'Etudes et d'Actions Sociales,NGOs,
CARE Yemen,NGOs,
"Solidarité, Urgence, Developpement",NGOs,
Sécurité civile,NGOs,
Partnership Africa Canada,NGOs,
Ocean Training and Promotion,NGOs,
Nos Petits Frères et SÅurs - Haiti,NGOs,
Al Mithaq,NGOs,
Pax Christi e.V,NGOs,
Consortium of Dutch NGOs,NGOs,
Shafak Organization,NGOs,
Bahar Organization,NGOs,
Muslim Hands International,NGOs,
Ethiopian Evangelical Church Mekane Yesus Development and Social Services Commission,NGOs,
Save Lives Initiative South Sudan,NGOs,
Hope Restoration South Sudan,NGOs,
Danish Association for International Co-operation,NGOs,
Stop Poverty Communal Initiative,NGOs,
Kueng Community Development Agency,NGOs,
Aid Support Community Organization,NGOs,
"Yem. Gen. Union of Sociologists, S. Workers and Psychologists",NGOs,
Youth Organization for Social Action,NGOs,
Mayar Foundation for Development,NGOs,
Community Partners International,NGOs,
World Vision Somalia,NGOs,
Christian Agenda for Development,NGOs,
Change Agent Organization,NGOs,
"Organization for Peace, Relief and Development",NGOs,
Human Call Association,NGOs,
Generations without Qat,NGOs,
Africare/Catholic Relief Services,NGOs,
INTERMON,NGOs,
Millenium Development Foundation,NGOs,
Vision to Change the World,NGOs,
Civic Democratic Initiatives Support Foundation,NGOs,
Al-Atta for Relief and Development,NGOs,
MOVIMONDO,NGOs,
Comprehensive Community Based Rehabilitation in Somaliland,NGOs,
Humanitarian Integrity for Women Action on Advocacy for Peace and Human Right,NGOs,
Socio-Economic Development and Human Rights Organization,NGOs,
International Aid Services Denmark,NGOs,
Palestinian Center for Democracy and Conflict Resolution,NGOs,
ONG Tabitha,NGOs,
Mercy Ships,NGOs,
National Center for Community Rehabilitation,NGOs,
World Vision Jerusalem West Bank Gaza,NGOs,
Central Blood Bank Society,NGOs,
Yanabia Al-khir Foundation,NGOs,
Al-Twasul For Human Development,NGOs,
Estijabah Network for Humanitarian Aid and Relief,NGOs,
Al-Hikma Al-Yamania Association for Charity,NGOs,
Rebuild Syria Reconstruction Program,NGOs,
Community Aid Abroad,NGOs,
Jordanian Hashemite Fund for Human Development,NGOs,
International Committee for the Development of Peoples,NGOs,
Menschen Gegen Minen,NGOs,
International Patients' Helping Society,NGOs,
Civil Society Human Rights Organization South Sudan,NGOs,
Grassroot Empowerment and Development Organization,NGOs,
Centre for Affordable Water and Sanitation Technology,NGOs,
Jireh Doo Foundation,NGOs,
Potsdam Kommunikation,NGOs,
Swedish Committee for Afghanistan,NGOs,
IMPACT Initiatives,NGOs,
Japan Rescue Association,NGOs,
Ninurta,NGOs,
International Medical Volunteers Japan Heart,NGOs,
"Human Relief Foundation, UK",NGOs,
Foundation for Refugee Economic Empowerment,NGOs,
Taybah Foundation Development,NGOs,
Legal Action Worldwide,NGOs,
International Association for Maternal and Neonatal Health,NGOs,
Silk Road Organization,NGOs,
World Vision Viet Nam,NGOs,
Tamkeen for Community Development,NGOs,
Evangelisches Missionswerk in Deutschland,NGOs,
Green Concern for Development,NGOs,
Solidarity for Afghan Families,NGOs,
Blumont International,NGOs,
Mayday Rescue Foundation,NGOs,
Matres Mundi,NGOs,
Serviço Pastoral dos Migrantes,NGOs,
Fundación Ayuda en Acción Colombia,NGOs,
"Educo - Fundación Educación y Cooperación, ChildFund Alliance member",NGOs,
Beyaz Eller Association (White Hands Association),NGOs,
Takaful for Child Welfare,NGOs,
Gazze Destek DerneÄi (Gaza Support Association),NGOs,
Ghirass For Society Development,NGOs,
Al-Nahrain Foundation for Relief and Development,NGOs,
Islamic Social Welfare Organization,NGOs,
Al Hadatha Association,NGOs,
InWent,NGOs,
Somali Relief and Development Action,NGOs,
Al-basar International Foundation,NGOs,
World Vision Mozambique,NGOs,
Women Rehabilitation Organization,NGOs,
Caritas Brazil,NGOs,
Islamic Relief Jordan,NGOs,
Partners in Rural Development,NGOs,
ORA International Lobito,NGOs,
Family Health International - FHI 360,NGOs,
KAALO Aid and Development,NGOs,
Al Mezan Center for Human Rights,NGOs,
WeWorld Onlus,NGOs,
Physicians for Human Rights Israel,NGOs,
Gorongosa Project,NGOs,
Northern Frontier Youth League,NGOs,
Relief and Development Peer Foundation,NGOs,
Fida International | ZOA,NGOs,
European Centre for Common Ground/Common Ground,NGOs,
Swedish Mission Council | PMU-Interlife,NGOs,
"Water, Environment & Sanitation Society",NGOs,
Charity Mission Corps,NGOs,
Coalition for Humanity South Sudan,NGOs,
American Refugee Committee (Alight),NGOs,
"Association for Water, Applied Education and Renewable Energy",NGOs,
Global Youth Organization,NGOs,
Health Action Aid,NGOs,
Healthcare Foundation Organization,NGOs,
Humanity Empowerment and Leadership Promotion Organization,NGOs,
Support the Empowerment of Women and their Rights for Development,NGOs,
The Rescue Mission,NGOs,
United Networks for Health,NGOs,
Women Aid Vision,NGOs,
Genre Paix et Developement,NGOs,
Centre for Integrated Development and Research,NGOs,
Coopérative de Production Agricole et Artisanale pour le Développement du Monde Rural,NGOs,
Maison Prisca,NGOs,
Women Act for Living Together,NGOs,
African Relief Service (Central African Republic),NGOs,
All for Peace And Dignity,NGOs,
Association pour la Promotion de la Culture,NGOs,
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs,
Korea Campus Crusade for Christ,NGOs,
Subul Al Salam Social Association,NGOs,
Dummar Youth Charity,NGOs,
Hoffnungszeichen - Sign of Hope e.V,NGOs,
Children of One World (Bir Dünya íocuk),NGOs,
Donbas SOS,NGOs,
Danish Refugee Council | Danish De-mining Group,NGOs,
Bremen Overseas Research and Development Association,NGOs,
SOS Kinderdorpen,NGOs,
INGO Forum Myanmar,NGOs,
Katchin Women's Association Thailand,NGOs,
Wan Lark  Foundation,NGOs,
Wunpawng Ninghtoi,NGOs,
Women for the World,NGOs,
MA-UK Myanmar Serving Humanity,NGOs,
Thazin Community Development Initiative,NGOs,
Pan Ka Lay,NGOs,
People for People,NGOs,
SwissLimbs,NGOs,
Spectrum - Sustainable Development Knowledge Network,NGOs,
Sabou Guinee,NGOs,
Community Care for Emergency Response and Rehabilitation,NGOs,
Center for Social Integrity,NGOs,
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs,
Komitee Arzte,NGOs,
Northwest Medical Teams International,NGOs,
World Vision Bangladesh,NGOs,
Humanitarian Advisory Group,NGOs,
Caritas Comité Diocésain de Développement Maroua-Mokolo,NGOs,
Diálogo Diverso,NGOs,
Syria Al Yamama Charity Association (SYCA),NGOs,
Al Wasel Association,NGOs,
Swedish Groups of Africa,NGOs,
Al Hussein Society Jordan Center for Training and Inclusion (AHS),NGOs,
The Ghassan Kanfani Cultural Foundation,NGOs,
Caritas Venezuela,NGOs,
Fundación Entreculturas - Fe y Alegrí­a,NGOs,
Children in Crisis,NGOs,
Hand in Hand For Aid and Development,NGOs,
Nour Foundation for Relief and Development,NGOs,
EPI-Center,NGOs,
Nigeria,National government,
